"Артикул";"Цена_Закупочная"
"710205";"1363"
"710206";"1381"
"710207";"1407"
"710208";"149"
"710209";"149"
"710210";"149"
"710211";"149"
"710212";"149"
"710213";"1465"
"710214";"1473"
"710215";"1473"
"710216";"1473"
"710217";"1477"
"710218";"1483"
"710219";"1483"
"710220";"1483"
"710221";"1483"
"710222";"1483"
"710223";"1483"
"710224";"1483"
"710225";"1498"
"710226";"1559"
"710227"
"710228"
"710229"
"710230";"1587"
"710231";"1587"
"710232";"1587"
"710233";"1587"
"710234"
"710235";"1600"
"710236";"1600"
"710237";"1600"
"710238";"1600"
"710239";"1600"
"710240";"1600"
"710241";"1600"
"710242";"1600"
"710243";"166"
"710244";"1676"
"710245";"178"
"710246";"180"
"710247";"1855"
"710248";"1866"
"710249";"200"
"710250";"200"
"710251";"200"
"710252";"202"
"710253";"1992"
"710254";"1992"
"710255";"1992"
"710256";"1992"
"710257";"1992"
"710258";"1992"
"710259";"1992"
"710260";"1992"
"710261";"1992"
"710262";"206"
"710263";"211"
"710264";"2094"
"710265";"2094"
"710266";"2094"
"710267";"2094"
"710268";"2094"
"710269";"2094"
"710270";"2121"
"710271";"2121"
"710272"
"710273"
"710274"
"710275"
"710276"
"710277"
"710278";"225"
"710279";"2287"
"710280";"2287"
"710281";"2287"
"710282";"2287"
"710283";"2309"
"710284";"2309"
"710285";"2371"
"710286";"2371"
"710287";"2371"
"710288";"248"
"710289";"248"
"710290";"254"
"710291";"254"
"710292";"257"
"710293";"2493"
"710294";"2493"
"710295";"26"
"710296";"26"
"710297";"26"
"710298";"26"
"710299";"2539"
"710300";"2539"
"710301";"2539"
"710302";"270"
"710303";"270"
"710304";"270"
"710305";"270"
"710306";"303"
"710307";"303"
"710308";"303"
"710309"
"710310"
"710311";"309"
"710312";"309"
"710313";"309"
"710314";"315"
"710315";"315"
"710316";"315"
"710317";"315"
"710318";"315"
"710319";"315"
"710320";"315"
"710321";"315"
"710322";"315"
"710323";"3349"
"710324";"3349"
"710325";"3349"
"710326";"3349"
"710327"
"710328"
"710329";"350"
"710330";"350"
"710331";"350"
"710332";"350"
"710333";"3503"
"710334";"369"
"710335";"383"
"710336";"394"
"710337"
"710338";"406"
"710339";"406"
"710340";"406"
"710341";"406"
"710342";"408"
"710343";"408"
"710344";"408"
"710345";"426"
"710346";"426"
"710347";"426"
"710348"
"710349";"448"
"710350";"453"
"710351";"453"
"710352";"457"
"710353";"457"
"710354";"457"
"710355";"476"
"710356";"476"
"710357";"476"
"710358";"495"
"710359";"521"
"710360";"521"
"710361";"523"
"710362";"523"
"710363";"542"
"710364";"542"
"710365";"1132"
"710366";"550"
"710367";"550"
"710368";"550"
"710369";"550"
"710370"
"710371"
"710372"
"710373";"627"
"710374";"652"
"710375";"655"
"710376";"677"
"710377";"679"
"710378";"700"
"710379";"701"
"710380";"701"
"710381";"711"
"710382";"712"
"710383";"712"
"710384"
"710385"
"710386";"726"
"710387";"726"
"710388";"726"
"710389";"726"
"710390";"738"
"710391";"738"
"710392";"738"
"710393";"738"
"710394";"744"
"710395";"744"
"710396";"764"
"710397"
"710398"
"710399";"780"
"710400";"780"
"710401";"780"
